expiry,entry_date,rank,structure,mgmt,spot_entry,atm_strike,put_wall,call_wall,legs,short_put,short_call,wing_width,credit_pts,credit_inr,max_loss_inr,nights_held,first_breach_ts,first_breach_side,overlay_trigger_ts,overlay_trigger_side,overlay_trigger_spot,settle_spot,settle_debit_pts,costs_inr,worst_mark_inr,pnl_inr
2026-07-21,2026-07-17,T-2,strangle,overlay,24221.8,24200.0,24200.0,24500.0,SC24500@24.1 SP24200@134.35,24200.0,24500.0,,158.4,10299,,1,07-20T03:50,P,,,,24238.5,0.0,340,-356,9959
2026-07-21,2026-07-17,T-2,straddle,hold,24221.8,24200.0,24200.0,24500.0,SC24200@121.85 SP24200@134.35,24200.0,24200.0,,256.2,16653,,1,07-17T04:31,C,,,,24238.5,38.5,340,-3350,13810
2026-07-21,2026-07-17,T-2,straddle,overlay,24221.8,24200.0,24200.0,24500.0,SC24200@121.85 SP24200@134.35,24200.0,24200.0,,256.2,16653,,1,07-17T04:31,C,,,,24238.5,38.5,340,-3350,13810
2026-07-21,2026-07-20,T-1,condor,hold,24187.1,24200.0,24000.0,24200.0,SC24200@72.95 LC24300@37.5 SP24000@31.55 LP23900@15.55,24000.0,24200.0,100,51.5,3344,3156,0,07-20T04:35,C,,,,24238.5,38.5,680,-1311,162
2026-07-21,2026-07-20,T-1,condor,overlay,24187.1,24200.0,24000.0,24200.0,SC24200@72.95 LC24300@37.5 SP24000@31.55 LP23900@15.55,24000.0,24200.0,100,51.5,3344,3156,0,07-20T04:35,C,,,,24238.5,38.5,680,-1311,162
2026-07-21,2026-07-20,T-1,fly,hold,24187.1,24200.0,24000.0,24200.0,SC24200@72.95 SP24200@107.6 LC24300@37.5 LP24100@60.7,24200.0,24200.0,100,82.4,5353,1147,0,07-20T04:31,P,,,,24238.5,38.5,680,-693,2170
2026-07-21,2026-07-20,T-1,fly,overlay,24187.1,24200.0,24000.0,24200.0,SC24200@72.95 SP24200@107.6 LC24300@37.5 LP24100@60.7,24200.0,24200.0,100,82.4,5353,1147,0,07-20T04:31,P,,,,24238.5,38.5,680,-693,2170
2026-07-21,2026-07-20,T-1,strangle,hold,24187.1,24200.0,24000.0,24200.0,SC24200@72.95 SP24000@31.55,24000.0,24200.0,,104.5,6792,,0,07-20T04:35,C,,,,24238.5,38.5,340,-2030,3950
2026-07-21,2026-07-20,T-1,strangle,overlay,24187.1,24200.0,24000.0,24200.0,SC24200@72.95 SP24000@31.55,24000.0,24200.0,,104.5,6792,,0,07-20T04:35,C,,,,24238.5,38.5,340,-2030,3950
2026-07-21,2026-07-20,T-1,straddle,hold,24187.1,24200.0,24000.0,24200.0,SC24200@72.95 SP24200@107.6,24200.0,24200.0,,180.6,11736,,0,07-20T04:31,P,,,,24238.5,38.5,340,-291,8893
2026-07-21,2026-07-20,T-1,straddle,overlay,24187.1,24200.0,24000.0,24200.0,SC24200@72.95 SP24200@107.6,24200.0,24200.0,,180.6,11736,,0,07-20T04:31,P,,,,24238.5,38.5,340,-291,8893
2026-07-28,2026-07-22,T-4,condor,hold,24015.0,24000.0,24000.0,24200.0,SC24200@82.85 LC24300@54.85 SP24000@155.3 LP23900@111.95,24000.0,24200.0,100,71.4,4638,1862,4,07-22T04:55,P,,,,23985.3,14.7,680,-1554,3005
2026-07-28,2026-07-22,T-4,condor,overlay,24015.0,24000.0,24000.0,24200.0,SC24200@82.85 LC24300@54.85 SP24000@155.3 LP23900@111.95,24000.0,24200.0,100,71.4,4638,1862,4,07-22T04:55,P,07-24T04:30,P,23645,23985.3,14.7,850,-23207,-19317
2026-07-28,2026-07-22,T-4,fly,hold,24015.0,24000.0,24000.0,24200.0,SC24000@167.5 SP24000@155.3 LC24100@120.25 LP23900@111.95,24000.0,24000.0,100,90.6,5889,611,4,07-22T04:31,C,,,,23985.3,14.7,680,-956,4257
